Artist,Country,Type,Gender,Rating,Tags
Frank Sinatra,US,Person,Male,"{'value': 4.1, 'votes-count': 10}","[{'name': 'big band', 'count': 2}, {'count': 1, 'name': 'christmas'}, {'count': 2, 'name': 'christmas music'}, {'name': 'easy listening', 'count': 1}, {'name': 'jazz', 'count': 9}, {'name': 'standards', 'count': 2}, {'count': 7, 'name': 'swing'}, {'count': 4, 'name': 'traditional pop'}, {'count': 1, 'name': 'vocal'}, {'count': 5, 'name': 'vocal jazz'}]"
Gordon Jenkins,US,Person,Male,"{'value': None, 'votes-count': 0}","[{'count': 1, 'name': '2008 universal fire victim'}]"
Sabrina Carpenter,US,Person,Female,"{'value': 5, 'votes-count': 4}","[{'count': 1, 'name': 'alternative pop'}, {'name': 'electropop', 'count': 1}, {'name': 'pop', 'count': 4}]"
John Williams,US,Person,Male,"{'value': 4.75, 'votes-count': 8}","[{'count': 1, 'name': '2008 universal fire victim'}, {'name': 'academy award winner', 'count': 1}, {'name': 'american', 'count': 1}, {'name': 'american composer', 'count': 1}, {'name': 'classical', 'count': 8}, {'name': 'composer', 'count': 5}, {'count': 3, 'name': 'conductor'}, {'name': 'contemporary classical', 'count': 2}, {'name': 'easy listening soundtracks and musicals', 'count': 1}, {'name': 'film', 'count': 1}, {'name': 'film composer', 'count': 4}, {'name': 'film score', 'count': 1}, {'count': 1, 'name': 'film soundtrack'}, {'name': 'game', 'count': 1}, {'count': 1, 'name': 'grammy winner'}, {'count': 1, 'name': 'jazz'}, {'count': 2, 'name': 'modern classical'}, {'count': 4, 'name': 'orchestral'}, {'count': 1, 'name': 'pianist'}, {'count': 1, 'name': 'saga'}, {'name': 'score', 'count': 3}, {'count': 1, 'name': 'server name'}, {'count': 12, 'name': 'soundtrack'}, {'name': 'soundtracks', 'count': 1}, {'name': 'star wars', 'count': 1}, {'count': 1, 'name': 'suboptimal credits'}, {'name': 'vgm', 'count': 1}, {'count': 1, 'name': 'video game'}, {'count': 1, 'name': 'western classical'}]"
Plastic Ono Band,GB,Group,,"{'value': None, 'votes-count': 0}","[{'count': 1, 'name': 'rock'}]"
Rauw Alejandro,PR,Person,Male,"{'value': 5, 'votes-count': 1}","[{'count': 2, 'name': 'hip hop'}, {'name': 'latin', 'count': 4}, {'name': 'latin urban', 'count': 4}, {'name': 'reggaeton', 'count': 2}, {'name': 'trap latino', 'count': 2}]"
Romeo Santos,US,Person,Male,"{'value': 5, 'votes-count': 1}","[{'name': 'bachata', 'count': 2}, {'name': 'latin', 'count': 2}, {'count': 1, 'name': 'música tropical'}]"
Rauw Alejandro,PR,Person,Male,"{'value': 5, 'votes-count': 1}","[{'count': 2, 'name': 'hip hop'}, {'name': 'latin', 'count': 4}, {'name': 'latin urban', 'count': 4}, {'count': 2, 'name': 'reggaeton'}, {'count': 2, 'name': 'trap latino'}]"
Bad Bunny,PR,Person,Male,"{'votes-count': 3, 'value': 4.65}","[{'count': 1, 'name': 'hip hop'}, {'count': 1, 'name': 'latin'}, {'count': 3, 'name': 'latin trap'}, {'name': 'latin urban', 'count': 2}, {'count': 2, 'name': 'reggaeton'}, {'count': 1, 'name': 'spanish'}, {'name': 'trap latino', 'count': 1}]"
Nat King Cole,US,Person,Male,"{'votes-count': 4, 'value': 4.25}","[{'count': 1, 'name': 'anthology'}, {'name': 'easy listening', 'count': 3}, {'count': 7, 'name': 'jazz'}, {'count': 2, 'name': 'pop'}, {'count': 1, 'name': 'r&b'}, {'count': 2, 'name': 'standards'}, {'name': 'swing', 'count': 3}, {'count': 2, 'name': 'traditional pop'}, {'name': 'vocal jazz', 'count': 5}]"
Elvis Presley,US,Person,Male,"{'value': 4.25, 'votes-count': 12}","[{'count': 3, 'name': 'blue-eyed soul'}, {'name': 'blues', 'count': 3}, {'count': 1, 'name': 'christmas music'}, {'name': 'country', 'count': 5}, {'count': 2, 'name': 'film soundtrack'}, {'name': 'gospel', 'count': 3}, {'count': 5, 'name': 'pop'}, {'count': 1, 'name': 'pop rock'}, {'count': 1, 'name': 'r&b'}, {'name': 'rock', 'count': 3}, {'count': 3, 'name': 'rock & roll'}, {'name': 'rock and roll', 'count': 6}, {'count': 1, 'name': 'rock n roll'}, {'name': 'rock-and-roll', 'count': 1}, {'count': 8, 'name': 'rockabilly'}]"
